left_side,right_side,similarity
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Lagrima - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000009
"Tutti Frutti - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Tutti Frutti - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000007
"Tutti Frutti - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Tutti Frutti - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000007
"Tutti Frutti - From ""the Magic Strings Of Frankie Presto: The Musical Companion""","Tutti Frutti - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",1.0000000000000007
