name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Life in Clay,Life in Clay,Koloto,2015-12-25,[],187025,14,0.809,0.707,5,-10.552,1,0.0404,0.601,0.367,0.168,0.437,136.003,4
Howling,89,Klimeks,2015-11-24,"['phonk', 'vapor twitch', 'wave']",246547,20,0.688,0.346,1,-12.047,0,0.0334,0.271,0.904,0.118,0.138,116.991,4
Stay Forever,The Long Journey Home,Catching Flies,2013-11-09,"['downtempo', 'electronica', 'indie dream pop', 'indie soul', 'new french touch', 'vapor soul', 'vapor twitch']",245703,39,0.431,0.324,5,-11.555,0,0.0496,0.104,0.665,0.123,0.0994,112.092,4
I Can Feel It Humming,Nothing Is Real,The Flashbulb,2014-05-12,"['breakcore', 'drill and bass', 'intelligent dance music']",234746,29,0.644,0.435,2,-15.163,0,0.0319,0.872,0.881,0.106,0.131,124.969,4
Lifespan - Instrumental,Lifespan,Vaults,2014-08-29,"['electropop', 'indie poptimism', 'vapor pop', 'vapor soul']",228162,28,0.432,0.606,1,-9.075,0,0.0277,0.0452,0.983,0.0623,0.0847,74.981,4
Time,Time,City of the Sun,2015-02-23,['american post-rock'],245426,30,0.267,0.601,6,-10.536,0,0.0323,0.0626,0.893,0.125,0.16,140.819,4
Superman Lost,Damage Control,Mat Zo,2013-01-01,"['big room', 'edm', 'electro house', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",128067,33,0.177,0.428,4,-8.922,0,0.0395,0.746,0.364,0.473,0.0839,127.405,4
Stargazer - Original Mix,"Adult Kids - ENM Classics, Vol. 1",Various Artists,2014-12-10,[],260575,5,0.505,0.392,6,-9.07,0,0.0474,0.59,4.57e-05,0.373,0.138,139.854,4
Stargazer - Original Mix,"Adult Kids - ENM Classics, Vol. 1",Various Artists,2014-12-10,[],260575,5,0.505,0.392,6,-9.07,0,0.0474,0.59,4.57e-05,0.373,0.138,139.854,4
Stargazer - Original Mix,"Adult Kids - ENM Classics, Vol. 1",Various Artists,2014-12-10,[],260575,5,0.505,0.392,6,-9.07,0,0.0474,0.59,4.57e-05,0.373,0.138,139.854,4
No Sleep Till Brooklyn,Licensed To Ill,Beastie Boys,1986-11-15,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']",246933,67,0.712,0.691,8,-8.157,1,0.128,0.122,0.0,0.0538,0.742,97.022,4
Toothbrush,DNCE,DNCE,2016-11-18,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",231813,70,0.556,0.785,7,-5.842,1,0.133,0.122,0.0,0.468,0.825,104.978,4
Weightless Memories,Ulrich Schnauss and Jonas Munk,Ulrich Schnauss,2011-07-18,"['ambient', 'electronica', 'german electronica', 'intelligent dance music', 'nu gaze', 'shoegaze']",375873,33,0.633,0.381,9,-13.137,0,0.0246,0.384,0.89,0.108,0.429,109.993,4
Contigo,Contigo,Koda,2017-08-21,['cumbia pop'],141679,0,0.648,0.739,9,-5.431,1,0.0878,0.115,0.0,0.246,0.882,103.353,4
