name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Dramamine,This Is a Long Drive for Someone with Nothing to Think About,Modest Mouse,1996-04-16,"['alternative rock', 'dance-punk', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'washington indie']",342000,55,0.376,0.736,4,-9.438,0,0.0412,0.326,0.105,0.107,0.796,185.12,3
Albatross,What Went Down,Foals,2015-08-28,"['alternative dance', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",323573,48,0.537,0.821,2,-7.051,0,0.0367,0.233,0.758,0.106,0.33,120.01,4
Captain's Daughter,Old Time Reverie,Mipso,2015-10-02,"['deep new americana', 'new americana', 'progressive bluegrass', 'stomp and holler']",218240,28,0.627,0.335,5,-9.12,1,0.0317,0.863,0.00126,0.0648,0.693,109.919,4
Skinny Love,Birdy,Birdy,2011-11-04,"['pop', 'pop rock']",201080,75,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,4
Skinny Love,"For Emma, Forever Ago",Bon Iver,2008-02-19,"['eau claire indie', 'melancholia']",238520,73,0.593,0.263,4,-14.029,0,0.0567,0.844,5.36e-06,0.127,0.109,76.379,4
"Whatever You Say, Henry",Modern Lore,Julian Lage,2018-02-02,"['contemporary jazz', 'jazz fusion', 'jazz guitar']",251061,21,0.538,0.182,7,-15.417,1,0.0343,0.898,0.937,0.125,0.322,116.936,4
Spiderhead,Melophobia,Cage The Elephant,2013-10-08,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']",222813,59,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49e-05,0.106,0.547,117.962,4
1977,1977,Ana Tijoux,2010-04-27,"['chilean indie', 'chilean rock', 'latin alternative', 'latintronica', 'nueva cancion', 'rap chileno', 'rap latina']",201986,53,0.697,0.685,9,-7.215,0,0.0421,0.00388,0.000506,0.0952,0.578,103.926,4
Ramblin' Man,Dreams,The Allman Brothers Band,1989-06-20,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']",288506,73,0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,4
El Pico,Ratatat,Ratatat,2004,"['alternative dance', 'new rave']",281773,39,0.729,0.635,4,-5.802,0,0.0381,0.23,0.799,0.133,0.522,98.007,4
Setting Forth,Into The Wild (Music For The Motion Picture),Eddie Vedder,2007-09-18,"['permanent wave', 'rock']",97866,54,0.549,0.78,2,-5.08,1,0.0291,0.0116,0.0,0.195,0.804,119.369,4
Libera Me from Hell,Cement City Vol. 1: Housetrapped,Cement City,2017-05-29,['otacore'],258220,45,0.507,0.917,1,-4.439,0,0.0612,0.0162,1.31e-06,0.318,0.0992,110.02,4
Bellbottoms,Dirty Shirt Rock 'N' Roll: The First Ten Years,The Jon Spencer Blues Explosion,2010-01-01,"['blues rock', 'garage rock', 'punk blues']",316853,53,0.353,0.865,2,-4.598,1,0.233,0.00991,0.147,0.314,0.46,164.042,4
Bonfire,Rage Valley,Knife Party,2012,"['australian dance', 'big room', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton']",272077,64,0.536,0.944,1,-3.029,1,0.0867,0.000117,0.00345,0.353,0.589,174.031,4
Lose Yourself - Soundtrack Version,Curtain Call,Eminem,2005-12-06,"['detroit hip hop', 'hip hop', 'rap']",321213,50,0.703,0.746,2,-4.718,1,0.257,0.00535,1.8e-05,0.357,0.0655,171.387,4
As We Ran,As We Ran,The National Parks,2014-01-28,"['acoustic pop', 'folk-pop', 'indie cafe pop', 'indiecoustica', 'neo mellow', 'stomp and holler', 'utah indie']",200321,57,0.431,0.588,9,-6.855,1,0.0348,0.0169,0.00689,0.368,0.183,143.975,4
Close Your Eyes (And Count To Fuck),Run The Jewels 2,Run The Jewels,2014-10-24,"['escape room', 'hip hop', 'political hip hop']",234160,62,0.678,0.662,1,-6.473,1,0.3,0.0123,0.0,0.133,0.498,80.318,4
Kiss With A Fist,Lungs (Deluxe Edition),Florence + The Machine,2009,"['art pop', 'baroque pop', 'pop', 'uk alternative pop']",123333,52,0.367,0.801,2,-5.396,1,0.137,0.0024,0.000273,0.0603,0.624,107.014,4
Pumped Up Kicks,Torches,Foster The People,2011-05-23,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",239600,84,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
