name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Shadow,Nocturne,Wild Nothing,2012-08-28,"['art pop', 'chillwave', 'dream pop', 'electropop', 'indie pop', 'indie rock', 'indie surf', 'modern dream pop', 'nu gaze', 'shimmer pop', 'shoegaze']",258779,47,0.45,0.724,8,-9.569,1,0.03,0.109,0.865,0.127,0.595,138.065,4
Popcorn,Bored Nothing,Bored Nothing,2013-04-09,['australian indie'],237986,12,0.468,0.931,5,-5.499,1,0.0586,0.000102,0.868,0.128,0.378,88.475,4
License to Drive,Absolute Bearing,Work Drugs,2012-07-10,"['chillwave', 'indie dream pop', 'indie poptimism', 'indietronica', 'shimmer pop', 'vapor soul']",218625,36,0.641,0.755,0,-9.161,1,0.031,0.106,0.0051,0.104,0.804,128.131,4
7even Purple Flowers,Done With Errors,the Skating Party,2013-02-01,['modern dream pop'],206146,5,0.499,0.606,11,-7.932,1,0.0297,0.0222,0.000858,0.239,0.187,122.484,4
Take Yourself With You,Stellular,Rose Elinor Dougall,2017-01-27,['brighton indie'],240613,21,0.566,0.788,1,-4.392,1,0.0362,0.0286,1.13e-06,0.101,0.514,110.102,4
Still Sound,Underneath The Pine,Toro y Moi,2011-02-21,"['alternative dance', 'chillwave', 'indie pop', 'indie soul', 'indietronica', 'new rave', 'nu gaze']",269666,43,0.724,0.551,0,-8.223,0,0.0296,0.232,0.0812,0.106,0.783,111.018,4
Saturdays,Bright Like Neon Love,Cut Copy,2004-01-01,"['alternative dance', 'australian dance', 'australian electropop', 'chillwave', 'dance-punk', 'electronic rock', 'electronica', 'electropop', 'filter house', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave', 'nu disco', 'nu gaze', 'shimmer pop']",217906,42,0.832,0.756,1,-6.332,1,0.0533,0.00872,0.195,0.0693,0.799,120.168,4
Cannons,The Year of Hibernation,Youth Lagoon,2011,"['chillwave', 'dream pop', 'idaho indie', 'indie pop', 'indie rock', 'indietronica', 'shimmer pop', 'stomp and holler']",224773,49,0.531,0.719,1,-5.063,1,0.0296,0.631,0.922,0.13,0.179,75.001,4
Blue Velvet,Lacuna,Childhood,2014-08-08,"['nottingham indie', 'shiver pop']",268826,29,0.422,0.838,4,-5.621,1,0.0544,0.0895,0.0457,0.131,0.262,119.103,4
Rules,Routines,Hoops,2017-05-05,"['chillwave', 'garage psych', 'indie garage rock', 'neo-psychedelic']",133073,32,0.356,0.826,1,-4.831,0,0.0616,5.42e-05,0.631,0.324,0.704,76.324,4
Dr Strangeluv,23,Blonde Redhead,2007-04-10,"['art pop', 'dance-punk', 'dream pop', 'indie rock', 'shoegaze']",289106,26,0.562,0.835,4,-4.849,0,0.0305,0.0487,0.667,0.0733,0.487,126.739,4
Thursday,Citrus,Asobi Seksu,2006-05-30,"['dream pop', 'japanese shoegaze', 'noise pop', 'nu gaze', 'shoegaze']",257173,35,0.375,0.719,2,-5.262,1,0.037,0.000125,0.739,0.136,0.229,147.437,4
Anymore,Anymore,Surf Rock Is Dead,2015-09-04,['brooklyn indie'],197596,39,0.402,0.793,9,-5.325,1,0.037,0.0714,0.00599,0.323,0.312,78.947,4
Chloroform,Bankrupt!,Phoenix,2013-04-23,"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave']",244813,48,0.326,0.724,0,-7.814,1,0.0355,0.00243,0.006,0.081,0.289,137.62,4
