name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bin Tere,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010-05-25,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",330360,55,0.585,0.698,9,-6.261,1,0.0392,0.42,3.59e-06,0.363,0.621,139.831,4
Thin Floors And Tall Ceilings,A Moment Apart,ODESZA,2017-09-08,"['chillwave', 'ninja']",178307,53,0.218,0.464,7,-9.013,0,0.0335,0.0335,0.962,0.122,0.0414,139.32,4
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Reanimation,Linkin Park,2002-07-29,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",346040,45,0.471,0.927,1,-5.76,1,0.0495,0.00272,0.537,0.115,0.232,96.149,4
Dementia,The Midsummer Station,Owl City,2012-01-01,"['modern rock', 'pop', 'pop rock', 'post-teen pop']",211186,41,0.589,0.959,1,-3.068,1,0.038,0.000124,2.74e-06,0.0786,0.78,127.013,4
Stakes,Winter,Vancouver Sleep Clinic,2014-03-10,"['indie anthem-folk', 'vapor pop', 'vapor soul']",311025,43,0.397,0.351,1,-10.708,0,0.0285,0.818,0.021,0.116,0.04,81.082,4
Pluto,Planetarium,James McAlister,2017-06-09,['experimental pop'],263719,32,0.27,0.302,0,-13.369,0,0.0347,0.593,0.26,0.14,0.125,134.204,3
Alien Angel,Wake Pig,3,2004,[],225466,32,0.308,0.87,9,-5.565,1,0.161,0.00183,7.78e-05,0.0677,0.296,177.18,3
Still,Holo,Limbo,2018-01-08,"['indie pop', 'lo-fi beats']",162829,20,0.599,0.34,0,-10.733,1,0.0266,0.762,0.259,0.0885,0.0772,93.987,4
Space Transmission,On the Sunday of Life (Remaster),Porcupine Tree,1991-07-05,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",179266,18,0.226,0.446,8,-22.744,1,0.0656,0.703,3.69e-05,0.127,0.0319,75.449,4
How Is Your Life Today?,Lightbulb Sun,Porcupine Tree,2000-03-01,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",166773,31,0.546,0.143,0,-16.277,0,0.036,0.982,0.245,0.148,0.0367,150.119,3
To an Ocean,In Passage,Immanu El,2011-10-29,"['instrumental post-rock', 'nordic post-rock', 'post-rock']",358000,7,0.388,0.759,2,-8.034,1,0.0412,0.00129,0.219,0.0961,0.297,135.981,3
Dust Bowl,Before the Flood (Music from the Motion Picture),Trent Reznor and Atticus Ross,2016-10-28,['soundtrack'],170933,30,0.621,0.195,10,-21.558,1,0.0472,0.966,0.897,0.101,0.155,130.035,4
Grains,Migration,Bonobo,2017-01-13,"['downtempo', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']",268893,44,0.441,0.423,6,-9.435,0,0.0369,0.837,0.966,0.0924,0.159,124.962,4
Celadon,Self-Titled,Signal Hill,2007-03-05,"['american post-rock', 'atmospheric post-rock']",274040,12,0.303,0.774,9,-7.988,0,0.0333,0.281,0.934,0.693,0.189,118.748,4
Abandon Window,Immunity,Jon Hopkins,2013-06-03,"['ambient', 'compositional ambient', 'electronica', 'intelligent dance music', 'post-rock']",297493,51,0.169,0.187,6,-25.116,1,0.0484,0.82,0.804,0.0974,0.136,127.614,4
Verona,Homes,Gilad Hekselman,2015-10-09,"['contemporary jazz', 'contemporary post-bop', 'israeli jazz', 'jazz fusion', 'jazz guitar']",470733,32,0.33,0.348,1,-16.09,1,0.032,0.836,0.799,0.0983,0.279,96.44,3
Six Billion,Nothing But Thieves (Deluxe),Nothing But Thieves,2015-10-16,"['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']",227013,46,0.303,0.452,0,-6.186,0,0.0276,0.15,0.0166,0.0958,0.205,143.553,4
Six Billion,Nothing But Thieves (Deluxe),Nothing But Thieves,2015-10-16,"['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']",227013,46,0.303,0.452,0,-6.186,0,0.0276,0.15,0.0166,0.0958,0.205,143.553,4
Lionheart,Soon It Will Be Cold Enough,Emancipator,2006-12-06,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']",292826,44,0.473,0.52,4,-12.013,0,0.0327,0.61,0.931,0.0876,0.204,182.056,4
Fade Away,Count Me In,Rebelution,2014-06-10,['reggae rock'],209253,63,0.685,0.54,9,-9.701,1,0.0253,0.181,0.015,0.114,0.235,109.926,4
Evening / Morning,I Had The Blues But I Shook Them Loose,Bombay Bicycle Club,2009-01-01,"['alternative dance', 'british indie rock', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",174946,44,0.425,0.838,10,-7.861,1,0.0337,0.00982,0.0412,0.137,0.244,139.433,4
Leave It,A Different Kind Of Fix,Bombay Bicycle Club,2011-01-01,"['alternative dance', 'british indie rock', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",233960,39,0.668,0.868,0,-5.633,0,0.0467,0.518,0.585,0.105,0.316,127.86,3
Flaws,Flaws,Bombay Bicycle Club,2010-01-01,"['alternative dance', 'british indie rock', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",177075,40,0.39,0.266,8,-11.938,1,0.0299,0.861,0.00372,0.187,0.18,142.445,4
Feel,"So Long, See You Tomorrow",Bombay Bicycle Club,2014-02-03,"['alternative dance', 'british indie rock', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",299866,47,0.64,0.932,6,-4.383,1,0.0372,0.0154,0.0622,0.493,0.807,110.008,4
20:17,Trance Frendz,Ólafur Arnalds,2016-03-04,"['bow pop', 'compositional ambient', 'focus', 'icelandic classical', 'neo-classical', 'neoclassical darkwave']",354988,60,0.359,0.0224,3,-29.089,1,0.039,0.987,0.866,0.111,0.169,107.849,3
Ghost Pong,Ghost Pong,Emancipator,2017-08-22,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']",291680,44,0.65,0.464,7,-7.629,1,0.0374,0.14,0.883,0.0964,0.409,89.992,4
Town & Country,A Mineral Love,Bibio,2016-04-01,"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indie soul', 'indietronica']",243373,48,0.714,0.689,7,-6.538,1,0.04,0.503,0.00134,0.1,0.883,95.035,4
Elysian Fields,A Moment of Stillness (2011 Remastered Edition),God Is An Astronaut,2011-12-23,"['cosmic post-rock', 'instrumental post-rock', 'post-rock']",193213,27,0.221,0.27,11,-14.682,0,0.0412,0.758,0.908,0.117,0.0958,122.611,4
The Light,Into The Blue Again,The Album Leaf,2006-11-08,"['american post-rock', 'compositional ambient', 'focus', 'post-rock']",269066,50,0.176,0.123,1,-16.596,1,0.0439,0.908,0.879,0.208,0.0388,109.536,5
Punk Rock:,Come On Die Young,Mogwai,1999-03-29,"['british post-rock', 'cosmic post-rock', 'post-rock']",128824,18,0.371,0.267,7,-17.204,0,0.0318,0.922,0.856,0.0963,0.105,96.023,1
Goodness,Baralku,Emancipator,2017-11-17,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']",325480,52,0.71,0.768,11,-8.744,0,0.0437,0.146,0.897,0.0911,0.597,89.871,4
Origami Soldiers,Lifenotes,Clem Leek,2011-10-25,"['compositional ambient', 'focus', 'nu age']",219000,10,0.124,0.194,9,-19.788,1,0.0393,0.399,0.921,0.185,0.0321,63.484,3
At a Glance,Folding Leaves,Message To Bears,2012,"['compositional ambient', 'focus', 'folktronica', 'post-rock']",218666,37,0.579,0.412,5,-10.129,1,0.0304,0.36,0.587,0.0997,0.139,89.953,4
Leaving Traces,Weathered,Epic45,2012-05-23,"['british post-rock', 'compositional ambient', 'post-rock']",250386,8,0.0611,0.343,0,-13.084,1,0.0397,0.942,0.884,0.0576,0.0381,59.417,4
Ghost of York,As Tall as Lions,As Tall As Lions,2006-08-08,"['dreamo', 'progressive post-hardcore']",246986,37,0.445,0.905,11,-5.264,1,0.0707,0.0696,0.00566,0.285,0.268,136.987,4
Lifeguard of a Helpless Body,Monobody,Monobody,2015-04-07,"['chicago indie', 'instrumental math rock', 'math pop']",255086,32,0.236,0.657,7,-8.854,1,0.0403,0.15,0.917,0.111,0.194,177.044,4
City of Black & White,City of Black & White Revisited,Mat Kearney,2019-06-28,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",225837,45,0.558,0.321,7,-7.946,1,0.0345,0.869,0.0,0.138,0.287,69.009,4
City of Black & White,City of Black & White Revisited,Mat Kearney,2019-06-28,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",225837,45,0.558,0.321,7,-7.946,1,0.0345,0.869,0.0,0.138,0.287,69.009,4
Void,Void,Elemental Soul,2018-02-09,[],284212,1,0.539,0.72,1,-8.577,1,0.0804,0.332,0.967,0.111,0.156,121.972,4
All Will Be Well,We Were Legends,Maree Docia,2015-08-04,['background music'],124815,23,0.152,0.229,3,-12.413,1,0.0409,0.826,0.593,0.107,0.039,137.662,3
Play Fire,Valuables,Enemies,2016-12-09,"['math pop', 'math rock']",283754,23,0.332,0.714,7,-6.994,1,0.0532,0.837,0.51,0.0803,0.514,165.022,3
Daughters - Home Demo,Daughters,John Mayer,2004-12-07,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",299160,30,0.702,0.504,2,-5.061,1,0.0282,0.0635,0.000264,0.208,0.325,122.922,3
Daughters - Home Demo,Daughters,John Mayer,2004-12-07,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",299160,30,0.702,0.504,2,-5.061,1,0.0282,0.0635,0.000264,0.208,0.325,122.922,3
All of Me Wants All of You - Live,Carrie & Lowell Live,Sufjan Stevens,2017-04-28,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",389658,39,0.467,0.695,11,-7.406,0,0.0326,0.145,0.0337,0.697,0.582,144.059,4
One Love to Another,Here,Edward Sharpe & The Magnetic Zeros,2012-05-29,"['double drumming', 'indie folk', 'indie pop', 'la indie', 'modern rock', 'stomp and holler']",212200,31,0.686,0.465,2,-14.433,1,0.0569,0.854,0.864,0.185,0.795,112.628,4
Eavesdrop,The Civil Wars,The Civil Wars,2013-08-02,"['acoustic pop', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",215400,41,0.512,0.381,4,-7.478,1,0.0258,0.784,0.0,0.109,0.114,82.626,4
Redford (For Yia-Yia and Pappou) - Live,Carrie & Lowell Live,Sufjan Stevens,2017-04-28,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",207645,28,0.105,0.232,5,-14.636,0,0.0382,0.86,0.74,0.108,0.0368,76.894,3
Doppelgänger,Familiars,The Antlers,2014-06-17,"['art pop', 'brooklyn indie', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'stomp and holler']",423533,26,0.378,0.397,4,-13.03,0,0.0285,0.573,0.843,0.109,0.179,108.094,4
Chinese Translation,Post-War,M. Ward,2006-08-22,"['alternative country', 'anti-folk', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'new americana', 'portland indie', 'roots rock', 'stomp and holler']",238600,55,0.555,0.726,2,-8.939,1,0.0368,0.152,0.000178,0.148,0.505,107.719,4
Fine For Now,Veckatimest,Grizzly Bear,2009-05-24,"['alternative dance', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'new weird america', 'nu gaze', 'shimmer pop', 'stomp and holler']",331106,38,0.357,0.465,11,-8.999,0,0.0406,0.249,0.00529,0.0852,0.356,118.191,3
The Wolves (Act I and II),"For Emma, Forever Ago",Bon Iver,2008-02-19,"['eau claire indie', 'melancholia']",322040,57,0.466,0.165,5,-16.0,1,0.0486,0.774,4.34e-05,0.0888,0.0969,116.738,3
Highway Patrol Stun Gun,Savage Hills Ballroom,Youth Lagoon,2015-09-25,"['chillwave', 'dream pop', 'idaho indie', 'indie pop', 'indie rock', 'indietronica', 'shimmer pop', 'stomp and holler']",250163,36,0.578,0.655,1,-6.988,1,0.0279,0.0348,0.000281,0.066,0.229,134.037,4
You Can Have It All,And Then Nothing Turned Itself Inside-Out,Yo La Tengo,2000-02-22,"['alternative rock', 'anti-folk', 'art pop', 'dream pop', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'new jersey indie', 'permanent wave']",276640,59,0.515,0.833,4,-9.409,1,0.0362,0.637,0.944,0.302,0.965,178.471,4
Chicago (adult contemporary easy listening version),The Avalanche,Sufjan Stevens,2006-07-11,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",366946,33,0.576,0.349,7,-12.644,1,0.0303,0.758,0.00289,0.121,0.107,124.967,4
Less Than Five Miles Away,We're All Gonna Die,Dawes,2016-09-16,"['alternative country', 'deep new americana', 'indie folk', 'indie rock', 'modern folk rock', 'new americana', 'roots rock', 'stomp and holler']",296533,25,0.69,0.734,7,-7.859,1,0.0551,0.134,0.0191,0.134,0.393,98.988,4
Shake,Let's Be Still,The Head and the Heart,2013-10-15,"['folk-pop', 'indie folk', 'neo mellow', 'new americana', 'seattle indie', 'stomp and holler']",241706,58,0.48,0.79,4,-7.775,1,0.0353,0.472,0.713,0.155,0.446,111.025,4
Thrown Right At Me,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",179333,31,0.742,0.152,0,-14.345,1,0.0412,0.979,7.57e-05,0.0965,0.28,121.842,3
Thrown Right At Me,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",179333,31,0.742,0.152,0,-14.345,1,0.0412,0.979,7.57e-05,0.0965,0.28,121.842,3
Thrown Right At Me,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",179333,31,0.742,0.152,0,-14.345,1,0.0412,0.979,7.57e-05,0.0965,0.28,121.842,3
Thrown Right At Me,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",179333,31,0.742,0.152,0,-14.345,1,0.0412,0.979,7.57e-05,0.0965,0.28,121.842,3
Thrown Right At Me,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",179333,31,0.742,0.152,0,-14.345,1,0.0412,0.979,7.57e-05,0.0965,0.28,121.842,3
HillBilly Man,The Fall,Gorillaz,2010,"['alternative hip hop', 'art pop']",230106,44,0.799,0.441,11,-8.475,0,0.0412,0.217,0.0333,0.0883,0.431,120.048,4
Trembling,Before the Flood (Music from the Motion Picture),Trent Reznor and Atticus Ross,2016-10-28,['soundtrack'],301984,24,0.236,0.174,4,-18.832,0,0.0424,0.971,0.911,0.0834,0.0479,125.442,3
Silence Breaks My Fall,Symbols,Forget Gravity,2016-07-02,[],280975,1,0.348,0.538,8,-8.865,1,0.0264,0.000596,0.17,0.13,0.0374,82.017,4
Silence Breaks My Fall,Symbols,Forget Gravity,2016-07-02,[],280975,1,0.348,0.538,8,-8.865,1,0.0264,0.000596,0.17,0.13,0.0374,82.017,4
Japanese Ceremonial Tea (Interlude),Golden Age,The Electric Sons,2015-11-14,['indie poptimism'],173600,43,0.443,0.843,6,-8.221,1,0.459,0.61,0.546,0.901,0.653,140.906,4
Ridin',The Sound of Revenge,Chamillionaire,2005-01-01,"['dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",303053,71,0.787,0.799,8,-4.68,0,0.0993,0.189,0.0,0.3,0.835,143.052,4
Right Now (Na Na Na),Freedom,Akon,2008-01-01,['dance pop'],240746,67,0.832,0.87,8,-4.2,0,0.167,0.267,0.0,0.412,0.566,138.003,4
High Hopes,The Division Bell,Pink Floyd,1994,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",510964,60,0.52,0.411,0,-12.536,0,0.025,0.202,0.153,0.351,0.28,75.235,4
In The Beginning,Planetarium,James McAlister,2017-06-09,['experimental pop'],77314,29,0.146,0.425,4,-17.987,0,0.0429,0.984,0.824,0.0893,0.0648,138.997,4
The Pretender,"Echoes, Silence, Patience & Grace",Foo Fighters,2007-09-25,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",269373,77,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,4
Waving Through a Window - From Dear Evan Hansen,Waving Through A Window (From Dear Evan Hansen),Owl City,2017-06-23,"['modern rock', 'pop', 'pop rock', 'post-teen pop']",247817,54,0.555,0.709,9,-4.873,1,0.0292,0.352,0.0,0.15,0.571,145.285,4
Starlight - Live from Wembley Stadium,HAARP (Live from Wembley Stadium),Muse,2007-12-03,"['modern rock', 'permanent wave', 'rock']",253866,30,0.478,0.919,10,-6.001,0,0.0678,0.000159,0.0183,0.874,0.309,121.602,4
Memories - Instrumental,Endless Summer (The Instrumentals),The Midnight,2016-08-03,"['nightrun', 'popwave']",379037,27,0.739,0.577,11,-10.496,0,0.0334,0.027,0.9,0.127,0.139,112.994,4
Memories - Instrumental,Endless Summer (The Instrumentals),The Midnight,2016-08-03,"['nightrun', 'popwave']",379037,27,0.739,0.577,11,-10.496,0,0.0334,0.027,0.9,0.127,0.139,112.994,4
Delicate - Live from Union Chapel,Live from the Union Chapel,Damien Rice,2003,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",321493,28,0.396,0.193,5,-11.778,1,0.0331,0.714,1.94e-05,0.455,0.196,113.941,3
Summer In November,Núna,Sindrandi,2015-06-16,['background music'],148974,41,0.617,0.454,2,-14.285,1,0.0414,0.458,0.802,0.0931,0.348,81.887,4
Eastern Leaves,Moving Mountains,Moving Mountains,2013-09-10,"['alternative emo', 'dreamo', 'midwest emo', 'post-rock', 'progressive post-hardcore']",291586,29,0.506,0.738,9,-6.745,1,0.0312,0.00506,0.00061,0.0775,0.2,139.966,4
"Tonight, Tonight, Tonight",Low Roar,Low Roar,2011,['icelandic indie'],476960,43,0.293,0.575,2,-11.224,0,0.0551,0.147,0.603,0.111,0.0464,90.001,4
Give Up,Low Roar,Low Roar,2011,['icelandic indie'],186600,51,0.234,0.389,0,-9.215,1,0.0298,0.882,0.0806,0.107,0.0631,164.542,4
Call Off The Bells,In Currents,The Early November,2012-07-02,"['alternative emo', 'dreamo', 'emo', 'neon pop punk', 'new jersey indie', 'pop punk', 'screamo']",263320,43,0.566,0.29,6,-4.622,1,0.0318,0.241,0.000174,0.0994,0.106,127.0,4
Burn One Down,Fight For Your Mind,Ben Harper,1995-01-01,['neo mellow'],211626,61,0.857,0.404,5,-10.669,1,0.0444,0.573,0.733,0.0958,0.302,105.068,4
Superman (It's Not Easy),America Town,Five For Fighting,2000-09-26,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']",221693,71,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4
Craving - Acoustic Version,Craving (Acoustic),James Bay,2016-06-24,"['neo mellow', 'pop', 'pop rock']",226240,49,0.629,0.112,5,-10.288,1,0.0405,0.611,0.0,0.107,0.227,126.379,4
Fallin' For You,Breakthrough (Deluxe Edition),Colbie Caillat,2009,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",215546,60,0.644,0.834,4,-6.473,1,0.0275,0.156,0.0,0.112,0.593,117.043,4
I Kissed A Girl,Derivatives,William Fitzsimmons,2010-05-10,"['acoustic pop', 'indie folk', 'neo mellow']",192639,55,0.728,0.481,0,-9.577,1,0.0335,0.355,6.78e-06,0.254,0.802,125.998,4
Revolution Indifference,A Lesson Unlearnt,Until The Ribbon Breaks,2015-01-20,['vapor pop'],189200,29,0.689,0.68,8,-6.812,1,0.125,0.109,0.00101,0.156,0.334,131.072,4
Romeo,A Lesson Unlearnt,Until The Ribbon Breaks,2015-01-20,['vapor pop'],258786,31,0.443,0.517,9,-8.189,0,0.0534,0.0471,0.0975,0.461,0.307,127.877,4
One Way Or Another,One Way Or Another,Until The Ribbon Breaks,2014-10-29,['vapor pop'],254265,42,0.301,0.321,11,-10.526,0,0.0382,0.835,0.00589,0.0836,0.0399,85.347,1
The Valley,The Valley,Betty Who,2017-03-24,"['australian dance', 'dance pop', 'electropop', 'indie poptimism', 'indietronica', 'metropopolis', 'pop']",88960,37,0.455,0.296,5,-9.331,1,0.0437,0.716,0.0,0.128,0.357,101.56,5
Sway - Chainsmokers Remix,Sway (Chainsmokers Remix),Anna of the North,2014-10-07,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'vapor pop', 'vapor soul']",180571,54,0.673,0.795,2,-6.21,1,0.0309,0.0555,0.0111,0.117,0.437,105.025,4
The Funeral,Everything All The Time,Band of Horses,2006-03-21,"['indie folk', 'indie pop', 'indie rock', 'modern rock', 'stomp and holler']",321146,71,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,4
